세션명,코드,일자,트랙,연사·소속,L축,원 도메인,적용 라인,게이트,교차검증 강도,사진 수
공평한 AI 불공평한 성장,2F-8,2026-08-04,2F,카페24 한희재,L3 전환·커머스,이커머스 인프라,KDT;CRM;CX,🟡변형,6,7
유통의 중심 브랜드에서 사람으로,2F-9,2026-08-04,2F,카카오 심윤보·크리에이터 최희,L2 도달·미디어,인플루언서 커머스,KDT;OM;CTS,🟡변형,4,13
불닭과 파이브가이즈 F&B 브랜드는 어떻게 팬덤을 키울까,2F-10,2026-08-04,2F,삼양애니 정우종·FG코리아 김남계,L4 관계·팬덤,F&B,CTS;CSM;OM,🟢직접,5,1
YouTube와 함께하는 크리에이터 마케팅 2.0,3F-1,2026-08-04,3F,Google,L2 도달·미디어,동영상 플랫폼,KDT;OM;CTS,🟢직접,6,1
올리브영 옴니채널 리테일미디어플랫폼 생태계,3F-2,2026-08-04,3F,CJ올리브영 김진석·김하연,L2 도달·미디어,리테일 미디어,KDT;OM,🔵참고,3,2
속도는 빨라졌는데 성과는 정말 좋아졌나,3F-3,2026-08-04,3F,넥슨 김선희 외,L5a 조직·거버넌스,게임 UA,전사;KDT;CTS,🟢직접,7,0
캠페인은 누구나 만든다 문제는 그다음이다,3F-4,2026-08-04,3F,데이터라이즈 박인성,L5a 조직·거버넌스,마테크 SaaS,전사;CRM;CX,🟢직접,5,5
약으로 뷰티를 해결하는 시대,3F-5,2026-08-04,3F,동아제약 홍민아,L4 관계·팬덤,제약·뷰티,KDT;KDC;CTS,🟡변형,3,0
AEO GEO AI 검색 피드를 선점하는 디지털 자산화 전략,3F-6,2026-08-04,3F,모비데이즈 신희구,L1 발견,광고대행,OM;CTS;KDT,🟢직접,7,6
CTV와 OTT 시대 브랜드는 무엇을 준비해야 하는가,3F-7,2026-08-04,3F,삼성전자 김원종·티빙 조성현,L2 도달·미디어,CTV·OTT,OM;CTS,🔵참고,4,0
AI가 실행을 가져간 시대 마케터가 정하는 것,3F-8,2026-08-04,3F,웍스피어(구 잡코리아),L1 발견,HR 플랫폼,KDT;KDC;OM;CTS,🟢직접,7,3
커머스에서 팔리는 브랜드 vs 묻히는 브랜드,3F-9,2026-08-04,3F,화이트큐브 최혁준,L3 전환·커머스,커머스 마케팅,KDT;KDC,🟡변형,4,0
기업 AI 무엇으로 이기는가,3F-10,2026-08-04,3F,한국맥도날드 박병진·로레알코리아 김솔미,L5a 조직·거버넌스,F&B·코스메틱,전사;OM;CX,🟢직접,6,5
